Asteroids	platforms	Arcade, [[#Ports
Wheelman	platforms	Microsoft Windows
Wheelman	platforms	PlayStation 3
Wheelman	platforms	Xbox 360
SimCity DS 2	platforms	Nintendo DS
Spirit of Adventure	platforms	Amiga, Atari ST Commodore 64, PC
River Rescue	platforms	ZX Spectrum
River Rescue	platforms	Commodore VIC-20
River Rescue	platforms	Commodore 64
River Rescue	platforms	Atari 8-bit family
Outlaw	platforms	Arcade game
Outlaw	platforms	Atari 2600
Fashion Designer: Style Icon	platforms	Nintendo DS
Pursuit	platforms	Arcade game
Koro Koro Puzzle Happy Panechu!	platforms	Game Boy Advance
Koto Battle: Tengai no Moribito	platforms	Game Boy Color
Dance Dance Revolution	platforms	Microsoft Windows
Qwak!	platforms	Arcade game
Shrek Smash n' Crash Racing	platforms	Game Boy Advance
Shrek Smash n' Crash Racing	platforms	Nintendo DS
Shrek Smash n' Crash Racing	platforms	Nintendo GameCube
Shrek Smash n' Crash Racing	platforms	PlayStation 2
Shrek Smash n' Crash Racing	platforms	PlayStation Portable
Ms. Pac-Man: Quest for the Golden Maze	platforms	Personal computer
Car Battler Joe	platforms	Game Boy Advance
Kousoku Card Battle: Card Hero	platforms	Nintendo DS
Trade & Battle: Card Hero	platforms	Game Boy Color
Trade & Battle: Card Hero	platforms	Virtual Console
Lifeforce Tenka	platforms	PlayStation
Lifeforce Tenka	platforms	Windows
Rollcage Stage II	platforms	PlayStation
Rollcage Stage II	platforms	Microsoft Windows
Kingsley's Adventure	platforms	PlayStation
My French Coach and My Spanish Coach	platforms	Nintendo DS
My French Coach and My Spanish Coach	platforms	Wii
My French Coach and My Spanish Coach	platforms	PlayStation Portable
My French Coach and My Spanish Coach	platforms	IOS
Hoosier City	platforms	DOS
Age of Chivalry	platforms	Microsoft Windows
Lock-On	platforms	Arcade game
Lock-On	platforms	IBM PC
Lock-On	platforms	Atari ST
Skateball	platforms	Amiga
Skateball	platforms	Amstrad CPC
Skateball	platforms	Amstrad GX
Skateball	platforms	Atari ST
Skateball	platforms	Commodore 64
Skateball	platforms	DOS
Skateball	platforms	ZX Spectrum
Ninja Boy	platforms	Game Boy
Dexterity	platforms	Game Boy
The Lost Mind of Dr. Brain	platforms	Macintosh
The Lost Mind of Dr. Brain	platforms	Windows 3.1x
Deadly Tide	platforms	Microsoft Windows
Swypeout	platforms	Microsoft Windows
Constantine	platforms	Microsoft Windows
Constantine	platforms	PlayStation 2
Constantine	platforms	Xbox
Constantine	platforms	Mobile phone
Antix	platforms	Elektronika 60
Antix	platforms	MS-DOS
Kimi no Yusha	platforms	Nintendo DS
The Astonishing Adventures of Mr. Weems and the She Vampires	platforms	Commodore 64
The Astonishing Adventures of Mr. Weems and the She Vampires	platforms	Amstrad CPC
The Astonishing Adventures of Mr. Weems and the She Vampires	platforms	ZX Spectrum
Wargame Construction Set	platforms	Amiga
Wargame Construction Set	platforms	Atari 8-bit family
Wargame Construction Set	platforms	Atari ST
Wargame Construction Set	platforms	Commodore 64
Wargame Construction Set	platforms	MS-DOS
Mobile Suit Gundam 00	platforms	Nintendo DS
Rambo	platforms	Amstrad CPC
Rambo	platforms	Commodore 64
Rambo	platforms	ZX Spectrum
Chedworth Halt railway station	platforms	2
Foss Cross railway station	platforms	2
Cirencester Watermoor railway station	platforms	2
South Cerney railway station	platforms	2
Paisley Hamilton Street railway station	platforms	2
Hidden Expedition Everest	platforms	Microsoft Windows
Hidden Expedition Everest	platforms	Mac OS X
Ontamarama	platforms	Nintendo DS
Onlineworms	platforms	Microsoft Windows
Cheadle Heath railway station	platforms	5
Heaton Mersey railway station	platforms	2
Zombie Panic! Source	platforms	Microsoft Windows
Worms Golf	platforms	Mobile phone
One Piece: Unlimited Cruise	platforms	Wii
One Piece: Unlimited Cruise	platforms	Nintendo 3DS
Mountfield Halt railway station	platforms	2
Churn railway station	platforms	2
Upton and Blewbury railway station	platforms	2
Compton railway station	platforms	2
Hampstead Norris railway station	platforms	2
Pinewood Halt railway station	platforms	2
Just Cause 2	platforms	Microsoft Windows
Just Cause 2	platforms	PlayStation 3
Just Cause 2	platforms	Xbox 360
Tamagotchi Connection: Corner Shop 3	platforms	Nintendo DS
Kings Ferry Bridge North Halt railway station	platforms	1
Mystery in London: On the Trail of Jack the Ripper	platforms	Microsoft Windows
Mystery in London: On the Trail of Jack the Ripper	platforms	Mac OS X
The Spiderwick Chronicles	platforms	Nintendo DS
The Spiderwick Chronicles	platforms	Personal computer
The Spiderwick Chronicles	platforms	Wii
The Spiderwick Chronicles	platforms	Xbox 360
The Spiderwick Chronicles	platforms	PlayStation 2
Reading Green Park railway station	platforms	2
Draglade	platforms	Nintendo DS
Transformers Decepticons	platforms	Nintendo DS
Transformers Decepticons	platforms	Nintendo DS Lite
Transformers Decepticons	platforms	Nintendo DSi
Transformers Decepticons	platforms	Nintendo DSi XL
Milton Road Halt railway station	platforms	2
Denton Halt railway station	platforms	2
Milton Range Halt railway station	platforms	2
Uralite Halt railway station	platforms	1
Cliffe railway station	platforms	1
High Halstow Halt railway station	platforms	1
Demigod	platforms	Microsoft Windows
Sharnal Street railway station	platforms	1
Beluncle Halt railway station	platforms	1
Grain railway station	platforms	2
Stoke Junction Halt railway station	platforms	1
Grain Crossing Halt railway station	platforms	1
Middle Stoke Halt railway station	platforms	1
Port Victoria railway station	platforms	1
Allhallows-on-Sea railway station	platforms	2
Hermitage railway station	platforms	2
Woodhay railway station	platforms	2
Mobile Suit Gundam: Federation vs. Zeon	platforms	Arcade , Dreamcast, PlayStation 2
Hashire Hebereke	platforms	Super Famicom, Windows.
Lincoln St. Marks railway station	platforms	2
Rebound	platforms	Arcade game
Angels Online	platforms	Microsoft Windows
Angels Online	platforms	PlayStation 3
Hazel Grove	platforms	2
Staines West railway station	platforms	1
The History Channel: Battle for the Pacific	platforms	Microsoft Windows
The History Channel: Battle for the Pacific	platforms	Xbox 360
The History Channel: Battle for the Pacific	platforms	PlayStation 3
The History Channel: Battle for the Pacific	platforms	Wii
The History Channel: Battle for the Pacific	platforms	PlayStation 2
The Tick	platforms	Super NES
The Tick	platforms	Sega Genesis
Cricklade railway station	platforms	2
WWF WrestleMania	platforms	Amiga
WWF WrestleMania	platforms	Amstrad CPC
WWF WrestleMania	platforms	Atari ST
WWF WrestleMania	platforms	Commodore 64
WWF WrestleMania	platforms	DOS
WWF WrestleMania	platforms	ZX Spectrum
WWF European Rampage Tour	platforms	Amiga
WWF European Rampage Tour	platforms	Atari ST
WWF European Rampage Tour	platforms	Commodore 64
WWF European Rampage Tour	platforms	Personal computer
WWF European Rampage Tour	platforms	MS-DOS
Magical Pop'n	platforms	Super Nintendo Entertainment System
OpenCity	platforms	Cross-platform
Superball Arcade	platforms	Microsoft Windows
NASCAR 09	platforms	PlayStation 2
NASCAR 09	platforms	PlayStation 3
NASCAR 09	platforms	Xbox 360
NASCAR 09	platforms	Mobile phone
My Disney Kitchen	platforms	PlayStation
My Disney Kitchen	platforms	Personal computer
The ClueFinders Reading Adventures	platforms	PC
Power Rangers Wild Force	platforms	Game Boy Advance
Mob Enforcer	platforms	Microsoft Windows
Mob Enforcer	platforms	Xbox
Riot Zone	platforms	TurboGrafx-16
Riot Zone	platforms	Virtual Console
DeathSpank	platforms	Microsoft Windows
DeathSpank	platforms	Mac OS X
DeathSpank	platforms	PlayStation 3
DeathSpank	platforms	Xbox 360
Dungeon Crawl Stone Soup	platforms	Cross-platform
Dungeon Crawl Stone Soup	platforms	Web browser
Prism: Light the Way	platforms	Windows, Nintendo DS, Mobile phone
Elixir	platforms	Acorn Electron
Elixir	platforms	BBC Micro
Inazuma Eleven	platforms	Nintendo DS
Inazuma Eleven	platforms	Nintendo 3DS
Universal Studios Theme Parks Adventure	platforms	Nintendo GameCube
Pokémon Ranger: Shadows of Almia	platforms	Nintendo DS
Requiem: Memento Mori	platforms	Microsoft Windows
Bang Attack	platforms	Wii
Iron Grip: Warlord	platforms	Microsoft Windows
Digimon World Championship	platforms	Nintendo DS
Selsdon railway station	platforms	4
Ape Quest	platforms	PlayStation Portable
Assassin's Creed: Altaïr's Chronicles	platforms	Nintendo DS
Assassin's Creed: Altaïr's Chronicles	platforms	Android
Assassin's Creed: Altaïr's Chronicles	platforms	IOS
Assassin's Creed: Altaïr's Chronicles	platforms	WebOS
Assassin's Creed: Altaïr's Chronicles	platforms	Symbian
Assassin's Creed: Altaïr's Chronicles	platforms	Java ME
Assassin's Creed: Altaïr's Chronicles	platforms	Windows Phone
Wedding Dash	platforms	BlackBerry
Wedding Dash	platforms	IPhone OS
Wedding Dash	platforms	Mac OS X
Wedding Dash	platforms	Mobile phone
Wedding Dash	platforms	Nintendo DS
Wedding Dash	platforms	Microsoft Windows
Dancing Stage MegaMix	platforms	PlayStation 2
Buzz!: The Schools Quiz	platforms	PlayStation 2
Monster Rancher Advance 2	platforms	Game Boy Advance
Burnout Paradise	platforms	PlayStation 3
Burnout Paradise	platforms	Xbox 360
Burnout Paradise	platforms	Microsoft Windows
Montezuma's Return!	platforms	Windows
Dash of Destruction	platforms	Xbox 360
Bliss Island	platforms	PC, PlayStation Portable, Xbox 360
Yin-Yang! X-Change Alternative 2	platforms	Microsoft Windows
Privett railway station	platforms	2
Privett railway station	platforms	1
Bramley & Wonersh railway station	platforms	2
Cranleigh railway station	platforms	2
Night Slave	platforms	NEC PC-9821
Arcania: Gothic 4	platforms	Microsoft Windows
Arcania: Gothic 4	platforms	Xbox 360
Arcania: Gothic 4	platforms	PlayStation 3
Arcania: Gothic 4	platforms	PlayStation 4
Ferrybridge railway station	platforms	2
MX vs. ATV: Untamed	platforms	Nintendo DS
MX vs. ATV: Untamed	platforms	PlayStation 2
MX vs. ATV: Untamed	platforms	PlayStation 3
MX vs. ATV: Untamed	platforms	PlayStation Portable
MX vs. ATV: Untamed	platforms	Xbox 360
MX vs. ATV: Untamed	platforms	Wii
MX vs. ATV: Untamed	platforms	Mobile phone
MegaRace 2	platforms	MS-DOS
Cricket Revolution	platforms	Microsoft Windows
Secret Weapons of the Luftwaffe	platforms	MS-DOS
Their Finest Hour	platforms	Amiga
Their Finest Hour	platforms	Atari ST
Their Finest Hour	platforms	DOS
Master of Darkness	platforms	Sega Master System
Master of Darkness	platforms	Game Gear
Lords of Time	platforms	Amiga
Lords of Time	platforms	Amstrad CPC
Lords of Time	platforms	Amstrad PCW
Lords of Time	platforms	Atari ST
Lords of Time	platforms	Atari 8-bit
Lords of Time	platforms	BBC Micro
Lords of Time	platforms	Commodore 64
Lords of Time	platforms	Enterprise
Lords of Time	platforms	Camputers Lynx
Lords of Time	platforms	Memotech MTX
Lords of Time	platforms	MSX
Lords of Time	platforms	Nascom
Lords of Time	platforms	Oric-1
Lords of Time	platforms	MS-DOS
Lords of Time	platforms	ZX Spectrum
Rudgwick railway station	platforms	1
Boogie Bunnies	platforms	Xbox 360 , PC
CyberStorm 2: Corporate Wars	platforms	Microsoft Windows
Highlander: The Game	platforms	Microsoft Windows
Highlander: The Game	platforms	PlayStation 3
Highlander: The Game	platforms	Xbox 360
Phaser Patrol	platforms	Atari 2600
Pikmin 3	platforms	Wii U
Meltdown	platforms	Amstrad CPC
Baroque	platforms	Sega Saturn
Baroque	platforms	PlayStation
Baroque	platforms	PlayStation 2
Baroque	platforms	PlayStation Network
Baroque	platforms	Wii
Wood Siding railway station	platforms	1
Tisted railway station	platforms	2
EA Sports GameShow	platforms	Personal computer
Dance Dance Revolution Extreme	platforms	Arcade game
Dance Dance Revolution Extreme	platforms	PlayStation 2
Dance Dance Revolution Extreme	platforms	PlayStation 3
Dance Dance Revolution Extreme	platforms	PlayStation 4
Dance Dance Revolution Extreme	platforms	Wii
Nervous Brickdown	platforms	Nintendo DS
Ganbare Goemon 2	platforms	Famicom, i-revo
Dance Dance Revolution Konamix	platforms	PlayStation
Rondo of Swords	platforms	Nintendo DS
Leisure Suit Larry: Box Office Bust	platforms	Microsoft Windows
Leisure Suit Larry: Box Office Bust	platforms	Xbox 360
Leisure Suit Larry: Box Office Bust	platforms	PlayStation 3
Brain Challenge	platforms	Mobile phones, iOS, iPod, Mac OS X, Nintendo DS, PlayStation Network, PlayStation Portable, Xbox Live Arcade, N-Gage 2.0, WiiWare, Microsoft Windows, Zeebo, DSiWare, Cloud
Gothic 3: The Beginning	platforms	Java ME
Highlander	platforms	Commodore 64
Highlander	platforms	Amstrad CPC
Highlander	platforms	ZX Spectrum
Pop'n Music Mickey Tunes	platforms	Arcade, Game Boy Color, PlayStation
Beatmania IIDX Substream	platforms	Arcade game
Bionic Commando Rearmed	platforms	Microsoft Windows, PlayStation 3 , Xbox 360
Beatmania IIDX 3rd Style	platforms	Arcade & Sony PlayStation 2
Beatmania IIDX 6th Style	platforms	Arcade & Sony PlayStation 2
Beatmania IIDX Club Version	platforms	Arcade game
Beatmania IIDX 2nd Style	platforms	Arcade game
Beatmania IIDX 4th Style	platforms	Arcade & Sony PlayStation 2
Beatmania IIDX 5th Style	platforms	Arcade & Sony PlayStation 2
Beatmania IIDX 10th Style	platforms	Arcade & Sony PlayStation 2
Beatmania IIDX 8th Style	platforms	Arcade & Sony PlayStation 2
Beatmania IIDX 7th Style	platforms	Arcade & Sony PlayStation 2
Beatmania IIDX 9th Style	platforms	Arcade & Sony PlayStation 2
Nitro Stunt Racing	platforms	Microsoft Windows
European Superleague	platforms	Amiga, Amstrad CPC 6128, Atari ST, PC and Sinclair ZX Spectrum 128/+3
The Flintstones: The Rescue of Dino & Hoppy	platforms	Nintendo Entertainment System
Abbey and West Dereham railway station	platforms	2
Battleships Forever	platforms	Microsoft Windows
Jubeat	platforms	Arcade game
Dance Dance Revolution Ultramix 2	platforms	Xbox
Dance Dance Revolution Party Collection	platforms	PlayStation 2
Dance Dance Revolution Extreme 2	platforms	PlayStation 2
Armored Core: For Answer	platforms	PlayStation 3
Armored Core: For Answer	platforms	Xbox 360
WWE SmackDown vs. Raw 2009	platforms	PlayStation 2
WWE SmackDown vs. Raw 2009	platforms	PlayStation 3
WWE SmackDown vs. Raw 2009	platforms	PlayStation Portable
WWE SmackDown vs. Raw 2009	platforms	Wii
WWE SmackDown vs. Raw 2009	platforms	Nintendo DS
WWE SmackDown vs. Raw 2009	platforms	Xbox 360
WWE SmackDown vs. Raw 2009	platforms	Mobile game
Paulsgrove Halt railway station	platforms	2
Ryburgh railway station	platforms	1
Fakenham East railway station	platforms	1
Battlefield Heroes	platforms	Microsoft Windows
Tilmanstone Colliery Halt railway station	platforms	1
Knowlton railway station	platforms	1
Eastry South railway station	platforms	1
Staple railway station	platforms	1
Woodnesborough railway station	platforms	1
Wingham Colliery railway station	platforms	1
Eastry railway station	platforms	1
Wingham Town railway station	platforms	1
Wingham	platforms	1
Ash Town railway station	platforms	1
Poison Cross railway station	platforms	1
Roman Road	platforms	1
Sandwich Road railway station	platforms	1
Richboro Port railway station	platforms	1
500cc Grand Prix	platforms	Amstrad CPC
500cc Grand Prix	platforms	Atari ST
500cc Grand Prix	platforms	Commodore International
500cc Grand Prix	platforms	DOS
Fire Shark	platforms	Arcade game
Fire Shark	platforms	Mega Drive
Granada	platforms	Sharp X68000
Granada	platforms	Sega Mega Drive
Everblue	platforms	PlayStation 2
Notrium	platforms	Microsoft Windows
Chicago 90	platforms	Amstrad CPC
Chicago 90	platforms	Atari ST
Chicago 90	platforms	Amiga
Chicago 90	platforms	DOS
Downhill Challenge	platforms	Amstrad CPC
Downhill Challenge	platforms	Atari ST
Downhill Challenge	platforms	Amiga
Downhill Challenge	platforms	Apple IIGS
Downhill Challenge	platforms	DOS
Downhill Challenge	platforms	Commodore 64
Downhill Challenge	platforms	ZX Spectrum
East Southsea railway station	platforms	1
Bodyworks Voyager – Mission in Anatomy	platforms	DOS
Highway Patrol 2	platforms	Atari ST
Highway Patrol 2	platforms	Amiga
Highway Patrol 2	platforms	DOS
Killerball	platforms	Atari
Killerball	platforms	Amiga
Killerball	platforms	Amstrad CPC
Killerball	platforms	DOS
Smethwick West railway station	platforms	2
Major League Baseball 2K9	platforms	Microsoft Windows
Major League Baseball 2K9	platforms	Xbox 360
Major League Baseball 2K9	platforms	PlayStation 3
Major League Baseball 2K9	platforms	PlayStation 2
Major League Baseball 2K9	platforms	PlayStation Portable
Major League Baseball 2K9	platforms	Wii
Krypton Egg	platforms	Atari ST
Krypton Egg	platforms	Amiga
Krypton Egg	platforms	DOS
Krypton Egg	platforms	Microsoft Windows
Krypton Egg	platforms	IOS
Outzone	platforms	Atari ST
Outzone	platforms	Amiga
Outzone	platforms	Commodore 64
Elemental	platforms	Atari ST
ATV Quad Power Racing	platforms	PlayStation
ATV Quad Power Racing	platforms	Game Boy Advance
Oakley	platforms	2
Hurstbourne railway station	platforms	2
The Spy Who Loved Me	platforms	Amiga
The Spy Who Loved Me	platforms	Atari ST
The Spy Who Loved Me	platforms	Amstrad CPC
The Spy Who Loved Me	platforms	Commodore 64
The Spy Who Loved Me	platforms	DOS
The Spy Who Loved Me	platforms	Sega Master System
The Spy Who Loved Me	platforms	ZX Spectrum
Gekibo: Gekisha Boy	platforms	TurboGrafx-16
Gekibo: Gekisha Boy	platforms	PlayStation
Charlton Mackrell railway station	platforms	2
Long Sutton and Pitney railway station	platforms	2
Keinton Mandeville railway station	platforms	2
Combo Racer	platforms	Atari ST
Combo Racer	platforms	Amiga
World Rally Championship	platforms	PlayStation 2
Bounder	platforms	Amstrad CPC
Bounder	platforms	Amstrad PCW
Bounder	platforms	ZX Spectrum
Bounder	platforms	MSX
Bounder	platforms	Commodore 64
Bounder	platforms	Commodore 16
Bounder	platforms	4
Butcher Hill	platforms	Amiga
Butcher Hill	platforms	Amstrad CPC
Butcher Hill	platforms	Atari ST
Butcher Hill	platforms	Commodore 64
Butcher Hill	platforms	ZX Spectrum
Cookie and Bibi 2	platforms	Arcade game
Cookie and Bibi 3	platforms	Arcade game
Dark Fusion	platforms	ZX Spectrum
Dark Fusion	platforms	Amstrad CPC
Dark Fusion	platforms	Amiga
Dark Fusion	platforms	Commodore International
Eternal Fantasy	platforms	Microsoft Windows
Deflektor	platforms	Amstrad CPC
Deflektor	platforms	Atari ST
Deflektor	platforms	Commodore International
Deflektor	platforms	ZX Spectrum
Deflektor	platforms	Amiga
Deflektor	platforms	Sharp X68000
Bittersweet Fools	platforms	IBM PC compatible
Bittersweet Fools	platforms	Dreamcast
Bittersweet Fools	platforms	PlayStation 2
Soma Bringer	platforms	Nintendo DS
Golden Basket	platforms	Amstrad CPC
Golden Basket	platforms	DOS
Golden Basket	platforms	MSX
Golden Basket	platforms	ZX Spectrum
Michael Jordan in Flight	platforms	DOS
Jammit	platforms	3
Street Sports Basketball	platforms	Amiga
Street Sports Basketball	platforms	Amstrad CPC
Street Sports Basketball	platforms	Apple II
Street Sports Basketball	platforms	Commodore 64
Street Sports Basketball	platforms	DOS
Street Sports Basketball	platforms	ZX Spectrum
GBA Championship Basketball: Two-on-Two	platforms	MS-DOS
GBA Championship Basketball: Two-on-Two	platforms	Amiga
GBA Championship Basketball: Two-on-Two	platforms	Apple IIGS
GBA Championship Basketball: Two-on-Two	platforms	Amstrad CPC
GBA Championship Basketball: Two-on-Two	platforms	Atari ST
GBA Championship Basketball: Two-on-Two	platforms	ZX Spectrum
GBA Championship Basketball: Two-on-Two	platforms	Commodore 64
Annals of Rome	platforms	ZX Spectrum
Annals of Rome	platforms	Amstrad CPC
Annals of Rome	platforms	Commodore 64
Annals of Rome	platforms	Atari ST
Annals of Rome	platforms	Amiga
Annals of Rome	platforms	MS-DOS
Shark Jaws	platforms	Arcade game
Clover Heart's	platforms	PC, PlayStation 2, FOMA mobile phones, DVD player game
SDI	platforms	Arcade game
SDI	platforms	Amiga
SDI	platforms	Amstrad CPC
SDI	platforms	Atari ST
SDI	platforms	Commodore 64
SDI	platforms	Master System
SDI	platforms	ZX Spectrum
Cooking Fighter Hao	platforms	PlayStation
Kingsley Halt railway station	platforms	1
Bordon railway station	platforms	4
Jessie Road Bridge Halt railway station	platforms	1
Albert Road Bridge Halt railway station	platforms	1
Swindon Town railway station	platforms	2
Cornholme railway station	platforms	2
Portsmouth	platforms	2
Holme	platforms	2
Towneley railway station	platforms	2
Barcombe railway station	platforms	1
Attack of the Saucerman	platforms	PlayStation
Attack of the Saucerman	platforms	Microsoft Windows
Air Ranger: Rescue Helicopter	platforms	PlayStation 2
Audiosurf	platforms	Microsoft Windows
Audiosurf	platforms	Zune HD
World of Goo	platforms	Android
World of Goo	platforms	BlackBerry OS
World of Goo	platforms	IOS
World of Goo	platforms	Linux
World of Goo	platforms	Microsoft Windows
World of Goo	platforms	OS X
World of Goo	platforms	Wii
Crypt Killer	platforms	Arcade game
Crypt Killer	platforms	Sega Saturn
Crypt Killer	platforms	PlayStation
Crypt Killer	platforms	Microsoft Windows
Eclipse	platforms	Microsoft Windows
Kingdom Under Fire II	platforms	PlayStation 4
Kingdom Under Fire II	platforms	Microsoft Windows
Ripponden and Barkisland railway station	platforms	2
Off-Road Velociraptor Safari	platforms	Mac OS X, Windows, Unity plug-in required
Luddendenfoot railway station	platforms	2
Elland railway station	platforms	2
West Hampstead railway station	platforms	2
Warlock	platforms	Sega Genesis
Warlock	platforms	Super Nintendo Entertainment System
Hornsea Town railway station	platforms	3
Hornsea Bridge railway station	platforms	2
Wassand railway station	platforms	2
Sigglesthorne railway station	platforms	2
Burton Constable railway station	platforms	2
Whitedale railway station	platforms	2
Ellerby railway station	platforms	2
Skirlaugh railway station	platforms	2
Swine railway station	platforms	2
The Dungeon Master	platforms	ZX Spectrum
Queensbury railway station	platforms	6
Moredon Halt railway station	platforms	1
Wavertree railway station	platforms	4
Operation Darkness	platforms	Xbox 360
Halls of the Things	platforms	ZX Spectrum
Halls of the Things	platforms	Amstrad CPC
Halls of the Things	platforms	Commodore 64
Wilmington railway station	platforms	Two , One island
Hull Botanic Gardens railway station	platforms	2
Sutton-on-Hull railway station	platforms	2
Sculcoates railway station	platforms	2
The Island	platforms	ZX Spectrum
Invasion of the Body Snatchas!	platforms	ZX Spectrum
Rommel's Revenge	platforms	ZX Spectrum
Things on Wheels	platforms	Xbox 360 , Microsoft Windows
Chiseldon Camp railway station	platforms	1
Ogbourne railway station	platforms	2
Saw	platforms	Microsoft Windows
Saw	platforms	PlayStation 3
Saw	platforms	Xbox 360
Big Red Racing	platforms	DOS
Avencast: Rise of the Mage	platforms	Microsoft Windows
Corridors of Genon	platforms	ZX Spectrum
3D Tunnel	platforms	ZX Spectrum
Escape	platforms	ZX Spectrum
SimPort	platforms	Microsoft Windows
SimPort	platforms	Mac OS X
Riccall railway station	platforms	2
Black College Football: BCFX: The Xperience	platforms	Xbox 360
Black College Football: BCFX: The Xperience	platforms	Microsoft Windows
Camberwell railway station	platforms	3
Borough Road railway station	platforms	3
Major Minor's Majestic March	platforms	Wii
FaceBreaker	platforms	Xbox 360
FaceBreaker	platforms	PlayStation 3
FaceBreaker	platforms	Wii
Lost in Blue 3	platforms	Nintendo DS
World Series of Poker 2008: Battle for the Bracelets	platforms	Xbox 360
World Series of Poker 2008: Battle for the Bracelets	platforms	PlayStation 2
World Series of Poker 2008: Battle for the Bracelets	platforms	PlayStation 3
World Series of Poker 2008: Battle for the Bracelets	platforms	PlayStation Portable
World Series of Poker 2008: Battle for the Bracelets	platforms	Nintendo DS
World Series of Poker 2008: Battle for the Bracelets	platforms	Personal computer
Meikyuu Jiin Dababa	platforms	Family Computer Disk System
P.T.O.	platforms	PC-8800 Series
P.T.O.	platforms	X68000
P.T.O.	platforms	MSX2
P.T.O.	platforms	FM Towns
P.T.O.	platforms	Sega Genesis
P.T.O.	platforms	Super Nintendo Entertainment System
Canning railway station	platforms	2
Workington Central railway station	platforms	2
Megapede	platforms	ZX Spectrum
Ostron	platforms	ZX Spectrum
Space Chimps	platforms	Nintendo DS
Space Chimps	platforms	PlayStation 2
Space Chimps	platforms	Wii
Space Chimps	platforms	Microsoft Windows
Space Chimps	platforms	Xbox 360
Professor Kageyama's Maths Training: The Hundred Cell Calculation Method	platforms	Nintendo DS
Betty Boop's Double Shift	platforms	Nintendo DS
Men of War	platforms	Microsoft Windows
Namco Museum DS	platforms	Nintendo DS
Disney's Hercules	platforms	Game Boy
Disney's Hercules	platforms	Microsoft Windows
Disney's Hercules	platforms	PlayStation
The Jungle Book Groove Party	platforms	PlayStation
The Jungle Book Groove Party	platforms	PlayStation 2
Swamp Thing	platforms	Nintendo Entertainment System
Swamp Thing	platforms	Game Boy
Super Swing Golf: Season 2	platforms	Wii
Morden Road railway station	platforms	1
Merton Park railway station	platforms	3
MX Superfly	platforms	Xbox
MX Superfly	platforms	PlayStation 2
MX Superfly	platforms	Nintendo GameCube
X3: Terran Conflict	platforms	Microsoft Windows
X3: Terran Conflict	platforms	Mac OS X
X3: Terran Conflict	platforms	Linux
GT Advance 2: Rally Racing	platforms	Game Boy Advance
GT Advance 3: Pro Concept Racing	platforms	Game Boy Advance
Imabikisō	platforms	PlayStation 3
Imabikisō	platforms	Wii
Deathsmiles	platforms	Arcade game
Deathsmiles	platforms	Xbox 360
Deathsmiles	platforms	Android
Deathsmiles	platforms	IOS
Deathsmiles	platforms	Microsoft Windows
Wensley railway station	platforms	2
Spennithorne railway station	platforms	1
Modem Wars	platforms	64.0
Modem Wars	platforms	DOS
80 Days	platforms	Microsoft Windows
American Bass Challenge	platforms	Game Boy Advance
Repulsar	platforms	ZX Spectrum
Buzz!: Master Quiz	platforms	PlayStation Portable
Jane's Longbow 2	platforms	PC
Firebirds	platforms	ZX Spectrum
Monsters in Hell	platforms	ZX Spectrum
Robon	platforms	ZX Spectrum
Armageddon Empires	platforms	Microsoft Windows
Armageddon Empires	platforms	Mac OS X
Spectrum Safari	platforms	ZX Spectrum
Loftus railway station	platforms	2
Magic Meanies	platforms	ZX Spectrum
French is Fun	platforms	ZX Spectrum
Altcar Rifle Range railway station	platforms	2
Halsall railway station	platforms	2
This Is Vegas	platforms	Microsoft Windows
This Is Vegas	platforms	PlayStation 3
This Is Vegas	platforms	Xbox 360
Texas Hold 'em	platforms	Xbox 360
Time Hollow	platforms	Nintendo DS
Greenwich Park railway station	platforms	3
Rocky Balboa	platforms	PlayStation Portable
Blackheath Hill railway station	platforms	2
Battle of the Bands	platforms	Wii
Lewisham Road railway station	platforms	2
Brockley Lane railway station	platforms	2
Grinkle railway station	platforms	2
Skinningrove railway station	platforms	1
Brotton railway station	platforms	2
Southcoates railway station	platforms	2
Taisen Puzzle-Dama	platforms	Arcade game
Bomberman Party Edition	platforms	PlayStation
Bomberman Party Edition	platforms	PlayStation Network
International Superstar Soccer Pro 98	platforms	PlayStation
Magic and Mayhem	platforms	Microsoft Windows
Great Longstone for Ashford railway station	platforms	2
Farringdon Halt railway station	platforms	One
Ettington railway station	platforms	2
Forge of Freedom: The American Civil War	platforms	Microsoft Windows
Dragon Lord	platforms	Amiga
Dragon Lord	platforms	Atari ST
Dragon Lord	platforms	MS-DOS
The Getaway	platforms	PlayStation 2
Buzz!: The Pop Quiz	platforms	PlayStation 2
Frogger's Adventures: Temple of the Frog	platforms	Game Boy Advance
Honor Oak railway station	platforms	2
Dancing Stage featuring Dreams Come True	platforms	Arcade game
Dancing Stage featuring Dreams Come True	platforms	PlayStation
Fatal Hearts	platforms	Microsoft Windows
Heli Fire	platforms	Arcade game
Sky Skipper	platforms	Arcade game
Sky Skipper	platforms	Atari 2600
Lordship Lane railway station	platforms	2
Devonport Kings Road railway station	platforms	2
Radcliffe Bridge railway station	platforms	2
Vowchurch railway station	platforms	1
Space Marauder	platforms	Game Boy Color
Street Fighter Alpha	platforms	Arcade game
Street Fighter Alpha	platforms	Game Boy Color
Street Fighter Alpha	platforms	PlayStation
Street Fighter Alpha	platforms	PlayStation 2
